address,group_code,office_no,public_office_classification,public_office_name
千代田区九段南1-2-1,13101,#p1,1,千代田区役所
千代田区麹町2-8,13101,#p2,2,麹町出張所
千代田区富士見1-6-7,13101,#p3,2,富士見出張所
千代田区神田神保町2-40,13101,#p4,2,神保町出張所
千代田区神田司町2-2,13101,#p5,2,神田公園出張所
千代田区外神田1-1-11,13101,#p6,2,万世橋出張所
千代田区神田佐久間町1-11-7,13101,#p7,2,和泉橋出張所
中央区築地1-1-1,13102,#p8,1,中央区役所
中央区日本橋蛎殻町1-31-1,13102,#p9,2,日本橋特別出張所
中央区月島4-1-1,13102,#p10,2,月島特別出張所
港区芝公園1-5-25,13103,#p11,1,港区役所
港区六本木5-16-45,13103,#p12,2,麻布地区総合支所
港区赤坂4-18-13,13103,#p13,2,赤坂地区総合支所
港区高輪1-16-25,13103,#p14,2,高輪地区総合支所
港区芝浦3-1-47,13103,#p15,2,芝浦江南地区総合支所
港区台場1-5-1,13103,#p16,2,台場分室
新宿区歌舞伎町1-4-1,13104,#p17,1,新宿区役所
新宿区内藤町87,13104,#p18,2,四谷特別出張所
新宿区箪笥町15,13104,#p19,2,箪笥町特別出張所
新宿区早稲田町85,13104,#p20,2,榎町特別出張所
新宿区若松町12-6,13104,#p21,2,若松町特別出張所
新宿区大久保2-12-7,13104,#p22,2,大久保特別出張所
新宿区高田馬場2-18-1,13104,#p23,2,戸塚特別出張所
新宿区下落合4-6-7,13104,#p24,2,落合第一特別出張所
新宿区中落合4-17-13,13104,#p25,2,落合第二特別出張所
新宿区北新宿2-3-7,13104,#p26,2,柏木特別出張所
新宿区西新宿4-33-7,13104,#p27,2,角筈特別出張所
文京区春日1-16-21,13105,#p28,1,文京区役所
台東区東上野4-5-6,13106,#p29,1,台東区役所
墨田区吾妻橋1-23-20,13107,#p30,1,墨田区役所
墨田区緑3-7-3,13107,#p31,2,緑出張所
墨田区横川5-10-1-111,13107,#p32,2,横川出張所
墨田区文化1-32-1-102,13107,#p33,2,文花出張所
墨田区東向島2-38-7,13107,#p34,2,東向島出張所
墨田区墨田2-14-4,13107,#p35,2,墨田二丁目出張所
江東区東陽4-11-28,13108,#p36,1,江東区役所
江東区白川1-3-28,13108,#p37,2,白川出張所
江東区富岡1-16-12,13108,#p38,2,富岡出張所
江東区豊洲5-5-1-101,13108,#p39,2,豊洲出張所
江東区扇橋2-1-5,13108,#p40,2,小松橋出張所
江東区亀戸2-19-1,13108,#p41,2,亀戸出張所
江東区大島4-5-1,13108,#p42,2,大島出張所
江東区北砂4-7-3,13108,#p43,2,砂町出張所
江東区南砂6-8-3,13108,#p44,2,南砂出張所
品川区広町2-1-36,13109,#p45,1,品川区役所
目黒区上目黒2-19-15,13110,#p46,1,目黒区役所
大田区蒲田5-13-14,13111,#p47,1,大田区役所
大田区大森南4-9-1,13111,#p48,2,大森東特別出張所
大田区大森西2-3-3,13111,#p49,2,大森西特別出張所
大田区大森北4-16-4,13111,#p50,2,入新井特別出張所
大田区中馬込3-25-5,13111,#p51,2,馬込特別出張所
大田区池上1-29-6,13111,#p52,2,池上特別出張所
大田区中央1-21-6,13111,#p53,2,新井宿特別出張所
大田区田園調布本町7-1,13111,#p54,2,嶺町特別出張所
大田区田園調布2-20-16,13111,#p55,2,田園調布特別出張所
大田区南久が原2-30-5,13111,#p56,2,鵜の木特別出張所
大田区久が原4-12-10,13111,#p57,2,久が原特別出張所
大田区東雪谷3-6-2,13111,#p58,2,雪谷特別出張所
大田区南千束2-16-19,13111,#p59,2,千束特別出張所
大田区西糀谷2-14-13,13111,#p60,2,糀谷特別出張所
大田区羽田1-18-14,13111,#p61,2,羽田特別出張所
大田区仲六郷2-42-2,13111,#p62,2,六郷特別出張所
大田区矢口2-21-14,13111,#p63,2,矢口特別出張所
大田区西蒲田7-12-7,13111,#p64,2,蒲田西特別出張所
大田区蒲田本町2-1-1,13111,#p65,2,蒲田東特別出張所
世田谷区世田谷4-21-27,13112,#p66,1,世田谷区役所
世田谷区世田谷4-22-33,13112,#p67,2,世田谷総合支所
世田谷区太子堂2-17-1,13112,#p68,2,太子堂出張所
世田谷区宮坂1-44-29,13112,#p69,2,経堂出張所
世田谷区北沢2-8-18,13112,#p70,2,北沢総合支所、北沢出張所
世田谷区等々力3-4-1,13112,#p71,2,玉川総合支所
世田谷区等々力3-4-1,13112,#p72,2,等々力出張所
世田谷区玉川台2-29-22,13112,#p73,2,用賀出張所
世田谷区2-21-1,13112,#p74,2,二子玉川分室
世田谷区成城6-2-1,13112,#p75,2,砧総合支所、成城出張所
世田谷区南烏山6-22-14,13112,#p76,2,烏山総合支所
世田谷区南烏山6-2-19,13112,#p77,2,烏山出張所
渋谷区宇田川町1-1,13113,#p78,1,渋谷区役所
渋谷区恵比寿1-27-10,13113,#p79,2,新橋出張所
渋谷区恵比寿恵比寿4-2-6,13113,#p80,2,恵比寿出張所
渋谷区上原1-18-6,13113,#p81,2,上原出張所
渋谷区西原2-28-9,13113,#p82,2,西原出張所
渋谷区初台1-33-10,13113,#p83,2,初台出張所
渋谷区本町4-9-7,13113,#p84,2,本町出張所
渋谷区笹塚3-1-9,13113,#p85,2,笹塚出張所
渋谷区千駄ヶ谷4-5-14,13113,#p86,2,千駄ヶ谷出張所
渋谷区神宮前6-10-14,13113,#p87,2,神宮前出張所
中野区中野4-8-1,13114,#p88,1,中野区役所
杉並区阿佐谷南1-15-1,13115,#p89,1,杉並区役所
豊島区東池袋1-18-1,13116,#p90,1,豊島区役所
北区王子本町1-15-22,13117,#p91,1,北区役所
荒川区荒川2-2-3,13118,#p92,1,荒川区役所
板橋区板橋2-66-1,13119,#p93,1,板橋区役所
板橋区赤塚6-38-1,13119,#p94,2,赤塚支所
練馬区豊玉北6-12-1,13120,#p95,1,練馬区役所
練馬区石神井町3-30-26,13120,#p96,2,石神井庁舎
練馬区桜台1-22-9,13120,#p97,2,桜台出張所
練馬区貫井1-9-1,13120,#p98,2,第三出張所
練馬区春日町5-30-1,13120,#p99,2,第四出張所
練馬区土支田2-32-8,13120,#p100,2,第五出張所
練馬区旭町3-11-6,13120,#p101,2,第六出張所
練馬区田柄2-6-22,13120,#p102,2,第七出張所
練馬区北町2-26-1,13120,#p103,2,第八出張所
練馬区高野台1-7-29,13120,#p104,2,谷原出張所
練馬区関町北1-7-2,13120,#p105,2,関出張所
練馬区上石神井1-6-16,13120,#p106,2,上石神井出張所
練馬区南大泉5-26-19,13120,#p107,2,大泉西出張所
練馬区大泉学園町5-8-8,13120,#p108,2,大泉北出張所
足立区中央本町1-17-1,13121,#p109,1,足立区役所
葛飾区立石5-13-1,13122,#p110,1,葛飾区役所
江戸川区中央1-4-1,13123,#p111,1,江戸川区役所
八王子市元本郷町3-24-1,13201,#p112,1,八王子市役所
立川市泉町1156-9,13202,#p113,1,立川市役所
立川市富士見町7-17-12,13202,#p114,2,富士見連絡所
立川市若葉町3-34-1,13202,#p115,2,東部連絡所
立川市西砂町6-12-10,13202,#p116,2,西部連絡所
武蔵野市緑町2-2-28,13203,#p117,1,武蔵野市役所
三鷹市野崎1-1-1,13204,#p118,1,三鷹市役所
青梅市東青梅1-11-1,13205,#p119,1,青梅市役所
青梅市梅郷3-749-1,13205,#p120,2,梅郷出張所
青梅市沢井2-682,13205,#p121,2,沢井出張所
青梅市小曾木3-1656-1,13205,#p122,2,小曾木出張所
青梅市成木4-644,13205,#p123,2,成木出張所
府中市宮西町2-24,13206,#p124,1,府中市役所
府中市白糸台1-60,13206,#p125,2,東部出張所
府中市西府町1-60,13206,#p126,2,西部出張所
昭島市田中町1-17-1,13207,#p127,1,昭島市役所
昭島市玉川町3-10-15,13207,#p128,2,東部出張所
調布市小島町2-35-1,13208,#p129,1,調布市役所
調布市西つつじヶ丘3-19-1,13208,#p130,2,神代出張所
町田市森野2-2-22,13209,#p131,1,町田市役所
小金井市本町6-6-3,13210,#p132,1,小金井市役所
小平市花小金井1-8-1,13211,#p133,2,東部出張所
小平市小川西町4-10-13,13211,#p134,2,西部出張所
小平市小川町2-1333,13211,#p135,1,小平市役所
日野市神明1-12-1,13212,#p136,1,日野市役所
日野市多摩平2-1-1,13212,#p137,2,豊田駅連絡所
日野市高幡128-5,13212,#p138,2,七尾支所
東村山市本町1-2-3,13213,#p139,1,東村山市役所
国分寺市戸倉1-6-1,13214,#p140,1,国分寺市役所
国立市富士見台2-47-1,13215,#p141,1,国立市役所
福生市本町5,13218,#p142,1,福生市役所
狛江市和泉本町1-1-5,13219,#p143,1,狛江市役所
東大和市中央3-930,13220,#p144,1,東大和市役所
清瀬市中里5-842,13221,#p145,1,清瀬市役所
清瀬市松山2-6-25,13221,#p146,2,松山出張所
清瀬市野塩1-322-2,13221,#p147,2,野塩出張所
東久留米市本町3-3-1,13222,#p148,1,東久留米市役所
東久留米市ひばりが丘団地185,13222,#p149,2,ひばりが丘連絡所
東久留米市上の原1-4-28,13222,#p150,2,上の原連絡所
東久留米市滝山4-1-10,13222,#p151,2,滝山連絡所
武蔵村山市本町1-1-1,13223,#p152,1,武蔵村山市役所
武蔵村山市緑が丘1460,13223,#p153,2,緑が丘出張所
多摩市関戸6-12-1,13224,#p154,1,多摩市役所
多摩市関戸4-72,13224,#p155,2,聖蹟桜ヶ丘駅出張所
多摩市落合1-39-1,13224,#p156,2,多摩センター駅出張所
稲城市東長沼2111,13225,#p157,1,稲城市役所
稲城市平尾3-1-1,13225,#p158,2,平尾出張所
稲城市若葉台2-5-2,13225,#p159,2,若葉台出張所
羽村市緑ヶ丘5-2-1,13227,#p160,1,羽村市役所
あきる野市二宮350,13228,#p161,1,あきる野市役所
あきる野市五日市411,13228,#p162,2,五日市出張所
あきる野市伊奈859-3,13228,#p163,2,増戸連絡所
西東京市南町5-6-13,13229,#p164,1,西東京市役所
西東京市中町1-5-1,13229,#p165,2,保谷庁舎
西東京市新町1-4-25,13229,#p166,2,柳橋出張所
西東京市住吉町3-10-25,13229,#p167,2,ひばりが丘駅前出張所
瑞穂町大字箱根ヶ崎2335,13303,#p168,1,瑞穂町役場
日の出町大字平井2780,13305,#p169,1,日の出町役場
檜原村467-1,13307,#p170,1,檜原村役場
奥多摩町氷川215-6,13308,#p171,1,奥多摩町役場
奥多摩町小丹波82,13308,#p172,2,古里出張所
大島町元町1-1-14,13361,#p173,1,大島町役場
大島町元町字佐吾衛門野地7-4,13361,#p174,2,北の山出張所
大島町岡田字助田64-1,13361,#p175,2,岡田出張所
大島町泉津字川之原15,13361,#p176,2,泉津出張所
大島町野増字大宮,13361,#p177,2,野増出張所
大島町差木地字カミワケ179,13361,#p178,2,差木地出張所
大島町波浮港6,13361,#p179,2,波浮港出張所
利島村248,13362,#p180,1,利島村役場
新島村本村1-1-1,13363,#p181,1,新島村役場
新島村式根島255-1,13363,#p182,2,式根島支所
新島村若郷1-4,13363,#p183,2,若郷支所
神津島村904,13364,#p184,1,神津島村役場
三宅村阿古497,13381,#p185,1,三宅村役場
三宅村神着197,13381,#p186,2,神着出張所
三宅村伊豆1054,13381,#p187,2,伊豆出張所
三宅村伊ヶ谷330,13381,#p188,2,伊ヶ谷出張所
三宅村坪田3050,13381,#p189,2,坪田出張所
御蔵島村字入りかねが沢,13382,#p190,1,御蔵島村役場
八丈町大賀郷2551-2,13401,#p191,1,八丈町役場
八丈町三根347,13401,#p192,2,三根出張所
八丈町樫立2027,13401,#p193,2,樫立出張所
八丈町中之郷2613,13401,#p194,2,中之郷出張所
八丈町末吉633,13401,#p195,2,末吉出張所
青ヶ島村無番地,13402,#p196,1,青ヶ島村役場
小笠原村父島字西町,13421,#p197,1,小笠原村役場
小笠原村母島字元地,13421,#p198,2,母島支所
立川市錦町3-2-26,13202,#p199,2,錦連絡所