id,position
p1,35.69400300 139.75363400
p2,35.68548200 139.74003600
p3,35.69911600 139.74637300
p4,35.69770200 139.75542000
p5,35.69272900 139.76813900
p6,35.69765300 139.77055000
p7,35.69735000 139.77496600
p8,35.67058700 139.77200300
p9,35.68248600 139.78432100
p10,35.66199900 139.78218900
p11,35.65807100 139.75159900
p12,35.66064800 139.73501200
p13,35.67474900 139.73163400
p14,35.64195600 139.73408200
p15,35.64566400 139.74903300
p16,35.62989200 139.77717000
p17,35.69389000 139.70346300
p18,35.68754100 139.71452600
p19,35.70057100 139.73418200
p20,35.70541000 139.72671800
p21,35.69906200 139.71647500
p22,35.70158600 139.70680400
p23,35.71415000 139.70507900
p24,35.71871700 139.69499400
p25,35.71983400 139.68306400
p26,35.69851100 139.69027000
p27,35.68619600 139.68909600
p28,35.70797600 139.75247300
p29,35.71260700 139.77998400
p30,35.71072400 139.80149700
p31,35.69361500 139.80326700
p32,35.70555500 139.81642100
p33,35.70836200 139.82482300
p34,35.72104900 139.81830600
p35,35.73249800 139.81708100
p36,35.67285900 139.81736500
p37,35.68118100 139.80051200
p38,35.67177300 139.79860600
p39,35.65373900 139.79612900
p40,35.68268300 139.81426300
p41,35.69764500 139.82452000
p42,35.68907700 139.82691700
p43,35.67745300 139.82847500
p44,35.67129000 139.83456700
p45,35.60906600 139.73025000
p46,35.64141000 139.69811800
p47,35.56126000 139.71598700
p48,35.56688700 139.74595700
p49,35.57842700 139.73001600
p50,35.58339600 139.72686800
p51,35.59389700 139.70959700
p52,35.57511600 139.71028200
p53,35.57965000 139.71862400
p54,35.58783100 139.67734800
p55,35.59422400 139.67116200
p56,35.57486400 139.68540700
p57,35.58038700 139.69391900
p58,35.59475200 139.69082400
p59,35.60495300 139.68942600
p60,35.55873500 139.73675000
p61,35.54922300 139.74223600
p62,35.54992200 139.71531300
p63,35.56202900 139.69025700
p64,35.56411200 139.71077900
p65,35.55853000 139.71843700
p66,35.64648100 139.65320800
p67,35.64652500 139.65219200
p68,35.64445100 139.67099000
p69,35.65051600 139.64147600
p70,35.66214000 139.66982900
p71,35.60861300 139.64842700
p72,35.60864500 139.64818500
p73,35.62553800 139.63630500
p74,35.61227400 139.62837900
p75,35.64124400 139.60058300
p76,35.66985700 139.59804800
p77,35.66879300 139.60058800
p78,35.66398200 139.69794800
p79,35.64759300 139.71635800
p80,35.64676300 139.71067400
p81,35.66865100 139.68292500
p82,35.67442800 139.67852500
p83,35.67963900 139.68484600
p84,35.68678500 139.68066600
p85,35.67760500 139.67008100
p86,35.68013300 139.70435500
p87,35.66755400 139.70518100
p88,35.70726800 139.66373800
p89,35.69954600 139.63641400
p90,35.73243700 139.71546900
p91,35.75280500 139.73365700
p92,35.73608300 139.78337200
p93,35.75124500 139.70924600
p94,35.77870500 139.64464700
p95,35.73560000 139.65172500
p96,35.74333800 139.60282300
p97,35.73912900 139.66667800
p98,35.73815600 139.63564200
p99,35.75054700 139.63947800
p100,35.76337900 139.61371100
p101,35.77434000 139.62500400
p102,35.76363400 139.64490200
p103,35.76761700 139.66038400
p104,35.74096600 139.61629400
p105,35.72449200 139.57764200
p106,35.72521200 139.59245200
p107,35.75116900 139.57352500
p108,35.76712700 139.58661500
p109,35.77494500 139.80458400
p110,35.74343000 139.84721300
p111,35.70664800 139.86831200
p112,35.66657000 139.31607500
p113,35.71398100 139.40784600
p114,35.69406200 139.39645300
p115,35.72024700 139.43919900
p116,35.72961700 139.37211800
p117,35.71783700 139.56593800
p118,35.68330800 139.55988300
p119,35.78817100 139.27499400
p120,35.78658200 139.22432600
p121,35.80472700 139.19629900
p122,35.81795200 139.27506000
p123,35.82418300 139.24851000
p124,35.66892100 139.47766300
p125,35.66700500 139.50618700
p126,35.67092100 139.45623100
p127,35.70570500 139.35377300
p128,35.70370100 139.38205700
p129,35.65062800 139.54068300
p130,35.65796900 139.57103200
p131,35.54655900 139.43852700
p132,35.69947900 139.50298900
p133,35.72791200 139.51398900
p134,35.73512500 139.46170700
p135,35.72849600 139.47747400
p136,35.67134700 139.39498100
p137,35.65987500 139.38163900
p138,35.66199500 139.41319300
p139,35.75462400 139.46848400
p140,35.71094300 139.46225200
p141,35.68391200 139.44136600
p142,35.73860100 139.32674400
p143,35.63481400 139.57869600
p144,35.74532800 139.42659100
p145,35.78576100 139.52642200
p146,35.77094200 139.51474800
p147,35.77918100 139.49942500
p148,35.75799200 139.52967300
p149,35.74654100 139.53430600
p150,35.77017400 139.54312100
p151,35.74491000 139.50436400
p152,35.75490600 139.38742100
p153,35.74175200 139.40512300
p154,35.63695900 139.44636600
p155,35.64961900 139.44698800
p156,35.62484400 139.42542000
p157,35.63793800 139.50460300
p158,35.61008100 139.48834900
p159,35.62104900 139.47218900
p160,35.76716800 139.31104200
p161,35.72895900 139.29404600
p162,35.72936800 139.21991700
p163,35.72932800 139.25540400
p164,35.72549900 139.53815900
p165,35.74152700 139.55890100
p166,35.71479800 139.54482000
p167,35.75074300 139.54591000
p168,35.77198900 139.35405400
p169,35.74211500 139.25740500
p170,35.72684000 139.14885200
p171,35.80952000 139.09621400
p172,35.81529000 139.14985800
p173,34.75005800 139.35561900
p174,34.77353300 139.36033700
p175,34.78516700 139.39157500
p176,34.78321900 139.41273100
p177,34.73318700 139.35620600
p178,34.68336100 139.41406200
p179,34.68673100 139.44119100
p180,34.52935400 139.28258400
p181,34.37713800 139.25655600
p182,34.32455700 139.21804000
p183,34.42074500 139.28220500
p184,34.20537100 139.13442600
p185,34.07577900 139.47974700
p186,34.12089551 139.52254326
p187,34.11460758 139.50103683
p188,34.09986800 139.49091600
p189,34.05922500 139.54658200
p190,33.89715600 139.59600900
p191,33.10941300 139.79092700
p192,33.11886700 139.80227200
p193,33.07156400 139.79616900
p194,33.06623200 139.81323600
p195,33.08217500 139.85221000
p196,32.46653700 139.76333700
p197,27.09438000 142.19190400
p198,26.64146700 142.15876500
p199,35.69425000 139.41969800