area,label,ruby,group_code,population,pref,en
特別区,千代田区,ちよだく,131016,65942,東京都,Chiyoda
特別区,中央区,ちゅうおうく,131024,168361,東京都,Chūō
特別区,港区,みなとく,131032,260379,東京都,Minato
特別区,新宿区,しんじゅくく,131041,348452,東京都,Shinjuku
特別区,文京区,ぶんきょうく,131059,226114,東京都,Bunkyō
特別区,台東区,たいとうく,131067,202431,東京都,Taitō
特別区,墨田区,すみだく,131075,274896,東京都,Sumida
特別区,江東区,こうとうく,131083,521835,東京都,Kōtō
特別区,品川区,しながわく,131091,401704,東京都,Shinagawa
特別区,目黒区,めぐろく,131105,281474,東京都,Meguro
特別区,大田区,おおたく,131113,734493,東京都,Ōta
特別区,世田谷区,せたがやく,131121,917486,東京都,Setagaya
特別区,渋谷区,しぶやく,131130,229671,東京都,Shibuya
特別区,中野区,なかのく,131148,335234,東京都,Nakano
特別区,杉並区,すぎなみく,131156,574118,東京都,Suginami
特別区,豊島区,としまく,131164,290246,東京都,Toshima
特別区,北区,きたく,131172,353908,東京都,Kita
特別区,荒川区,あらかわく,131181,217146,東京都,Arakawa
特別区,板橋区,いたばしく,131199,571357,東京都,Itabashi
特別区,練馬区,ねりまく,131202,739435,東京都,Nerima
特別区,足立区,あだちく,131211,691298,東京都,Adachi
特別区,葛飾区,かつしかく,131229,464550,東京都,Katsushika
特別区,江戸川区,えどがわく,131237,700079,東京都,Edogawa
多摩地域,八王子市,はちおうじし,132012,562480,東京都,Hachiōji
多摩地域,立川市,たちかわし,132021,184090,東京都,Tachikawa
多摩地域,武蔵野市,むさしのし,132039,146871,東京都,Musashino
多摩地域,三鷹市,みたかし,132047,188461,東京都,Mitaka
多摩地域,青梅市,おうめし,132055,133032,東京都,Ōme
多摩地域,府中市,ふちゅうし,132063,260232,東京都,Fuchū
多摩地域,昭島市,あきしまし,132071,113397,東京都,Akishima
多摩地域,調布市,ちょうふし,132080,237054,東京都,Chōfu
多摩地域,町田市,まちだし,132098,428821,東京都,Machida
多摩地域,小金井市,こがねいし,132101,122306,東京都,Koganei
多摩地域,小平市,こだいらし,132110,194869,東京都,Kodaira
多摩地域,日野市,ひのし,132128,186346,東京都,Hino
多摩地域,東村山市,ひがしむらやまし,132136,151255,東京都,Higashimurayama
多摩地域,国分寺市,こくぶんじし,132144,125170,東京都,Kokubunji
多摩地域,国立市,くにたちし,132152,76280,東京都,Kunitachi
多摩地域,福生市,ふっさし,132187,57617,東京都,Fussa
多摩地域,狛江市,こまえし,132195,83257,東京都,Komae
多摩地域,東大和市,ひがしやまとし,132209,85301,東京都,Higashiyamato
多摩地域,清瀬市,きよせし,132217,74636,東京都,Kiyose
多摩地域,東久留米市,ひがしくるめし,132225,116916,東京都,Higashikurume
多摩地域,武蔵村山市,むさしむらやまし,132233,72382,東京都,Musashimurayama
多摩地域,多摩市,たまし,132241,148823,東京都,Tama
多摩地域,稲城市,いなぎし,132250,91540,東京都,Inagi
多摩地域,羽村市,はむらし,132276,55354,東京都,Hamura
多摩地域,あきる野市,あきるのし,132284,80667,東京都,Akiruno
多摩地域,西東京市,にしとうきょうし,132292,205125,東京都,Nishitōkyō
多摩地域,瑞穂町,みずほまち,133035,32824,東京都,Mizuho
多摩地域,日の出町,ひのでまち,133051,16695,東京都,Hinode
多摩地域,檜原村,ひのはらむら,133078,2138,東京都,Hinohara
多摩地域,奥多摩町,おくたままち,133086,5038,東京都,Okutama
島しょ地域,大島町,おおしままち,133612,7544,東京都,Ōshima
島しょ地域,利島村,としまむら,133621,322,東京都,Toshima
島しょ地域,新島村,にいじまむら,133639,2688,東京都,Niijima
島しょ地域,神津島村,こうづしまむら,133647,1919,東京都,Kozushima
島しょ地域,三宅村,みやけむら,133817,2425,東京都,Miyake
島しょ地域,御蔵島村,みくらじまむら,133825,318,東京都,Mikurajima
島しょ地域,八丈町,はちじょうまち,134015,7326,東京都,Hachijo
島しょ地域,青ヶ島村,あおがしまむら,134023,168,東京都,Aogashima
島しょ地域,小笠原村,おがさわらむら,134210,2629,東京都,Ogasawara